Flight Code, Airline Name                           , Departure Time, Arrival Time, Duration, Stops, Price   , Departure City, Arrival City, Travel Class, Date of Travel
VN-247     , Vietnam Airlines                       , 10:00         , 18:05       , 8h 5m   ,     1,  9552228, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-7215    , Vietnam Airlines                       , 09:25         , 18:05       , 8h 40m  ,     1,  9552228, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-243     , Vietnam Airlines                       , 06:00         , 18:05       , 12h 5m  ,     1,  9552228, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-205     , Vietnam Airlines                       , 05:00         , 18:05       , 13h 5m  ,     1,  9552228, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-273     , Vietnam Airlines                       , 16:00         , 22:15       , 6h 15m  ,     1,  9845651, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-257     , Vietnam Airlines                       , 17:30         , 08:20       , 14h 50m ,     1,  9845651, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-263     , Vietnam Airlines                       , 20:00         , 07:25       , 11h 25m ,     1, 10139077, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-227     , Vietnam Airlines                       , 05:45         , 10:25       , 4h 40m  ,     1, 10206074, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-209     , Vietnam Airlines                       , 09:00         , 13:40       , 4h 40m  ,     1, 10206074, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-251     , Vietnam Airlines                       , 12:00         , 16:35       , 4h 35m  ,     1, 11100823, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
VN-213     , Vietnam Airlines                       , 13:00         , 17:30       , 4h 30m  ,     1, 12284903, Hà Nội        , Đà Nẵng     , Phổ thông   , 16/11/2025
QH-103     , Bamboo Airways                         , 07:35         , 09:00       , 1h 25m  ,     0,  4261950, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-7193    , Vietnam Airlines                       , 21:05         , 22:20       , 1h 15m  ,     0,  3181598, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-6071    , Vietnam Airlines                       , 18:20         , 19:45       , 1h 25m  ,     0,  3260519, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-6081    , Vietnam Airlines                       , 08:15         , 09:40       , 1h 25m  ,     0,  3346185, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-157     , Vietnam Airlines                       , 06:00         , 07:20       , 1h 20m  ,     0,  3635902, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-163     , Vietnam Airlines                       , 07:45         , 09:05       , 1h 20m  ,     0,  4066304, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-169     , Vietnam Airlines                       , 13:00         , 14:20       , 1h 20m  ,     0,  4407708, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-171     , Vietnam Airlines                       , 13:40         , 15:00       , 1h 20m  ,     0,  4407708, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-195     , Vietnam Airlines                       , 19:50         , 21:10       , 1h 20m  ,     0,  4407708, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-165     , Vietnam Airlines                       , 10:10         , 11:35       , 1h 25m  ,     0,  4514885, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-167     , Vietnam Airlines                       , 11:55         , 13:15       , 1h 20m  ,     0,  4848741, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-173     , Vietnam Airlines                       , 16:05         , 17:25       , 1h 20m  ,     0,  4848741, Hà Nội        , Đà Nẵng     , Thương gia  , 16/11/2025
VN-1541    , Vietnam Airlines                       , 06:00         , 07:15       , 1h 15m  ,     0,  2710693, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-569     , VietJet Air                            , 19:15         , 20:30       , 1h 15m  ,     0,  2134275, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-1549    , Vietnam Airlines                       , 20:45         , 21:55       , 1h 10m  ,     0,  3047581, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-1549    , Vietnam Airlines                       , 20:05         , 21:15       , 1h 10m  ,     0,  4841179, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , VietJet Air                            , 00:15         , 18:10       , 17h 55m ,     1,  2097615, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , VietJet Air                            , 00:15         , 20:35       , 20h 20m ,     1,  2124987, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , VietJet Air                            , 00:15         , 21:40       , 21h 25m ,     1,  2124987, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
